Name,UTM_Eastin,UTM_Northi
Koala_1,570108,6994731
Koala_2,569919,6994939
Koala_3,569696,6995089
Koala_4,569772,6995096
Koala_5,569578,6995171
Koala_6,569549,6995219
Koala_7,569760,6995366
Koala_8,569994,6995507
Koala_9,569691,6995589
Koala_10,569857,6995710
Koala_11,569873,6995726
Koala_12,569949,6995781
Koala_13,570065,6995864
Koala_14,570011,6995892
Koala_15,565953,6995929
Koala_16,565843,6995944
Koala_17,569918,6996016
Koala_18,566043,6996086
Koala_19,565980,6996101
Koala_20,566215,6996105
Koala_21,565857,6996106
Koala_22,566181,6996110
Koala_23,565780,6996172
Koala_24,565831,6996179
Koala_25,565851,6996230
Koala_26,565822,6996265
Koala_27,565812,6996378
Koala_28,565972,6996419
Koala_29,565809,6996565
Koala_30,565790,6996570
Koala_31,565553,6996574
Koala_32,565777,6996628
Koala_33,565788,6996632
Koala_34,565590,6996637
Koala_35,565586,6996639
Koala_36,565760,6996641
Koala_37,565584,6996643
Koala_38,565765,6996649
Koala_39,565765,6996650
Koala_40,565266,6996662
Koala_41,565282,6996676
Koala_42,565175,6996686
Koala_43,565962,6996690
Koala_44,565336,6996691
Koala_45,565197,6996700
Koala_46,565193,6996707
Koala_47,565146,6996790
Koala_48,565078,6996796
Koala_49,566622,6996807
Koala_50,565782,6996886
Koala_51,565611,6996913
Koala_52,565607,6996916
Koala_53,565593,6996921
Koala_54,565525,6996989
Koala_55,566314,6997001
Koala_56,566027,6997083
Koala_57,566027,6997084
Koala_58,566358,6997101
Koala_59,566302,6997106
Koala_60,566342,6997109
Koala_61,565759,6997131
Koala_62,565136,6997160
Koala_63,565721,6997208
Koala_64,565708,6997229
Koala_65,565546,6997231
Koala_66,566684,6997235
Koala_67,565570,6997264
Koala_68,565685,6997273
Koala_69,565859,6997282
Koala_70,565690,6997343
Koala_71,567041,6997425
Koala_72,567215,6997450
Koala_73,565725,6997471
Koala_74,565859,6997488
Koala_75,566013,6997517
Koala_76,565759,6997542
Koala_77,565770,6997548
Koala_78,566918,6997592
Koala_79,567332,6997619
Koala_80,565815,6997630
Koala_81,565931,6997638
Koala_82,565973,6997691
Koala_83,566791,6997712
Koala_84,566292,6997714
Koala_85,566289,6997716
Koala_86,566126,6997755
Koala_87,565950,6997765
Koala_88,566020,6997765
Koala_89,566704,6997766
Koala_90,566303,6997772
Koala_91,565981,6997792
Koala_92,566895,6997811
Koala_93,566892,6997822
Koala_94,566746,6997838
Koala_95,566888,6997846
Koala_96,566902,6997856
Koala_97,566687,6997863
Koala_98,566024,6997867
Koala_99,566980,6997910
Koala_100,566554,6997932
Koala_101,567232,6997941
Koala_102,566653,6997959
Koala_103,566653,6997962
Koala_104,566653,6997966
Koala_105,566750,6997969
Koala_106,566669,6997972
Koala_107,567222,6997973
Koala_108,565859,6997981
Koala_109,567152,6997982
Koala_110,567095,6997986
Koala_111,567095,6997987
Koala_112,565909,6997988
Koala_113,566714,6997988
Koala_114,567021,6997990
Koala_115,567021,6997991
Koala_116,566665,6997992
Koala_117,566579,6998010
Koala_118,567160,6998012
Koala_119,567309,6998041
Koala_120,567301,6998045
Koala_121,567336,6998050
Koala_122,565786,6998064
Koala_123,566712,6998074
Koala_124,566734,6998075
Koala_125,567337,6998102
Koala_126,565719,6998107
Koala_127,565850,6998128
Koala_128,566123,6998132
Koala_129,566926,6998137
Koala_130,565651,6998157
Koala_131,566844,6998157
Koala_132,566722,6998161
Koala_133,566058,6998166
Koala_134,565702,6998172
Koala_135,566073,6998172
Koala_136,567075,6998185
Koala_137,567075,6998186
Koala_138,566515,6998191
Koala_139,565528,6998193
Koala_140,565535,6998203
Koala_141,565677,6998203
Koala_142,565712,6998205
Koala_143,566069,6998219
Koala_144,565835,6998231
Koala_145,565865,6998233
Koala_146,566569,6998234
Koala_147,565760,6998242
Koala_148,566538,6998250
Koala_149,566691,6998255
Koala_150,566487,6998258
Koala_151,565840,6998266
Koala_152,566664,6998271
Koala_153,565894,6998273
Koala_154,566339,6998307
Koala_155,565843,6998318
Koala_156,565923,6998322
Koala_157,565908,6998329
Koala_158,565977,6998368
Koala_159,566392,6998404
Koala_160,566392,6998414
Koala_161,568648,6998423
Koala_162,566392,6998439
Koala_163,566466,6998448
Koala_164,566635,6998455
Koala_165,566842,6998470
Koala_166,566711,6998520
Koala_167,565975,6998525
Koala_168,567159,6998539
Koala_169,565996,6998542
Koala_170,566043,6998542
Koala_171,567433,6998546
Koala_172,565970,6998551
Koala_173,566530,6998585
Koala_174,565992,6998588
Koala_175,566741,6998607
Koala_176,566397,6998614
Koala_177,566148,6998627
Koala_178,566094,6998636
Koala_179,565956,6998646
Koala_180,568730,6998647
Koala_181,566140,6998648
Koala_182,565932,6998656
Koala_183,566455,6998671
Koala_184,566108,6998676
Koala_185,566107,6998679
Koala_186,566423,6998683
Koala_187,568816,6998740
Koala_188,566032,6998758
Koala_189,566177,6998768
Koala_190,567503,6998777
Koala_191,566318,6998778
Koala_192,566568,6998782
Koala_193,566918,6998783
Koala_194,566922,6998784
Koala_195,566933,6998789
Koala_196,567087,6998803
Koala_197,566155,6998809
Koala_198,566891,6998845
Koala_199,567263,6998866
Koala_200,567222,6998901
Koala_201,567141,6998916
Koala_202,567403,6998975
Koala_203,567859,6999048
Koala_204,567887,6999056
Koala_205,567860,6999060
Koala_206,568770,6999109
Koala_207,568732,6999302
Koala_208,568899,6999385
Koala_209,570181,6999386
Koala_210,570126,6999392
Koala_211,570276,6999396
Koala_212,568807,6999453
Koala_213,568391,6999468
Koala_214,568850,6999501
Koala_215,574780,6999525
Koala_216,568918,6999546
Koala_217,568964,6999560
Koala_218,569810,6999613
Koala_219,568897,6999626
Koala_220,569934,6999630
Koala_221,569712,6999656
Koala_222,568834,6999657
Koala_223,568903,6999680
Koala_224,568841,6999686
Koala_225,569631,6999699
Koala_226,569910,6999714
Koala_227,569967,6999753
Koala_228,574815,6999756
Koala_229,568835,6999770
Koala_230,569955,6999770
Koala_231,569014,6999816
Koala_232,569971,6999827
Koala_233,569971,6999828
Koala_234,568852,6999943
Koala_235,569295,6999987
Koala_236,574709,7000033
Koala_237,561633,7000295
Koala_238,561318,7000335
Koala_239,561389,7000390
Koala_240,561216,7000434
Koala_241,561673,7000461
Koala_242,570334,7000569
Koala_243,570334,7000570
Koala_244,561161,7000686
Koala_245,561565,7000693
Koala_246,570450,7000749
Koala_247,570439,7000757
Koala_248,561324,7000766
Koala_249,561597,7000775
Koala_250,570453,7000783
Koala_251,570445,7000787
