sampleid,IR
Koala_230,0.167764029
Koala_358,0.071715886
Koala_310,0.200755956
Koala_126,0.091408043
Koala_380,0.16906333
Koala_284,0.082121228
Koala_294,0.253369406
Koala_324,0.113887999
Koala_244,0.05559815
Koala_293,0.14707209
Koala_87,0.116009083
Koala_3,0.07602388
Koala_236,0.170917037
Koala_246,0.127862184
Koala_239,0.093342165
Koala_425,0.073157587
Koala_400,0.139679852
Koala_6,0.080957605
Koala_120,0.052638109
Koala_69,0.119071878
Koala_213,0.090686041
Koala_328,0.138122501
Koala_278,0.131447271
Koala_48,0.08730382
Koala_136,0.09213637
Koala_189,0.070792009
Koala_71,0.092168566
Koala_84,0.052517102
Koala_64,0.312204714
Koala_295,0.102486402
Koala_117,0.078177468
Koala_426,0.124785357
Koala_367,0.085934973
Koala_44,0.090690625
Koala_361,0.123895878
Koala_405,0.1177804
Koala_186,0.057645428
Koala_194,0.191877483
Koala_300,0.146426006
Koala_43,0.106558953
Koala_72,0.093505438
Koala_172,0.083857564
Koala_220,0.223112216
Koala_159,0.097377192
Koala_107,0.148311939
Koala_224,0.129892631
Koala_235,0.06505126
Koala_112,0.093728477
Koala_339,0.099474997
Koala_200,0.112638977
Koala_395,0.055030732
Koala_37,0.051409194
Koala_32,0.095843984
Koala_377,0.024561574
Koala_190,0.164841101
Koala_195,0.353368135
Koala_99,0.093253752
Koala_78,0.084065811
Koala_345,0.064158213
Koala_419,0.12426238
Koala_338,0.087948374
Koala_88,0.053704091
Koala_101,0.052726606
Koala_184,0.085727996
Koala_270,0.058796717
Koala_17,0.106803659
Koala_62,0.174289769
Koala_344,0.174445354
Koala_424,0.087515449
Koala_274,0.095041886
Koala_388,0.152737775
Koala_420,0.179760205
Koala_208,0.16072495
Koala_188,0.09239831
Koala_113,-0.261206713
Koala_131,0.125494225
Koala_288,0.07576586
Koala_305,0.270331018
Koala_237,0.139158651
Koala_286,0.069791698
Koala_374,0.067455053
Koala_396,0.105911265
Koala_35,0.094859813
Koala_423,0.021104681
Koala_167,0.142560405
Koala_303,0.229698954
Koala_418,0.12773413
Koala_307,0.103497242
Koala_255,0.121177253
Koala_77,0.218012699
Koala_93,0.071216474
Koala_122,0.117227008
Koala_82,0.086497845
Koala_33,0.095148976
Koala_277,0.11278192
Koala_24,0.093443984
Koala_134,0.082095867
Koala_240,0.110208583
Koala_352,0.132244594
Koala_193,0.04385491
Koala_9,0.131612271
Koala_148,0.066490354
Koala_130,0.119120279
Koala_429,0.096427072
Koala_105,0.12255937
Koala_254,0.05693376
Koala_326,0.196066859
Koala_79,0.103283351
Koala_422,0.09687388
Koala_191,0.0606278
Koala_333,0.090110902
Koala_47,0.158335025
Koala_248,0.092496366
Koala_40,0.042103381
Koala_103,0.12036765
Koala_312,0.199684069
Koala_320,0.352008638
Koala_279,0.077603188
Koala_257,0.073391292
Koala_268,0.076289715
Koala_22,0.058401931
Koala_143,0.158844647
Koala_271,0.128488104
Koala_50,0.092706192
Koala_8,0.283928732
Koala_97,0.046378673
Koala_392,0.074763893
Koala_114,0.127112084
Koala_92,0.135732238
Koala_346,0.089518238
Koala_269,0.077786916
Koala_406,0.16333672
Koala_291,0.111917831
Koala_314,0.096017842
Koala_336,0.205917707
Koala_173,0.083781157
Koala_174,0.120644059
Koala_160,0.026391698
Koala_182,0.135035044
Koala_264,0.034191108
Koala_49,0.257649577
Koala_309,0.055119163
Koala_90,0.186599093
Koala_7,0.15646779
Koala_96,0.042594729
Koala_31,0.067698033
Koala_365,0.094753132
Koala_249,0.191022501
Koala_14,0.103404345
Koala_26,0.084477731
Koala_15,0.106085609
Koala_116,0.09929252
Koala_285,0.150508122
Koala_393,0.331126832
Koala_55,0.164070937
Koala_127,0.111367926
Koala_21,0.235869763
Koala_362,0.210395576
Koala_228,0.045791229
Koala_119,0.062537994
Koala_135,0.068550412
Koala_153,0.102325984
Koala_359,0.128135589
Koala_318,0.228080333
Koala_334,0.055898689
Koala_397,0.216607685
Koala_34,0.120925951
Koala_124,0.079369325
Koala_206,0.027509365
Koala_192,0.082384054
Koala_261,0.131067501
Koala_408,0.023081673
Koala_11,0.185913169
Koala_83,0.095808335
Koala_272,0.162379611
Koala_162,0.152427014
Koala_198,0.105487341
Koala_30,0.342988036
Koala_385,0.189622982
Koala_281,0.040500062
Koala_351,0.040751969
Koala_282,0.060208952
Koala_158,0.111376225
Koala_85,0.109682339
Koala_214,0.213180091
Koala_157,0.094802688
Koala_212,0.332402485
Koala_265,0.060380855
Koala_52,0.364134373
Koala_20,0.154145534
Koala_106,0.048862182
Koala_164,0.114835487
Koala_100,0.085007075
Koala_156,0.089836709
Koala_168,0.188641036
Koala_13,0.132804032
Koala_76,0.095566014
Koala_407,0.40827224
Koala_280,0.344394155
Koala_375,0.075943306
Koala_151,0.119067267
Koala_384,0.104049638
Koala_296,0.100152553
Koala_23,0.091637751
Koala_322,0.098649337
Koala_349,0.056696158
Koala_276,0.094358118
Koala_121,0.166097404
Koala_301,0.022043071
Koala_80,0.221169182
Koala_371,0.126245449
Koala_330,0.092796802
Koala_58,0.097411305
Koala_1,0.128034442
Koala_216,0.10466174
Koala_175,0.039102292
Koala_317,0.151523439
Koala_217,0.093900315
Koala_41,0.088918229
Koala_417,0.086666861
Koala_394,0.177039011
Koala_222,0.085336082
Koala_197,0.053296978
Koala_165,0.112728441
Koala_232,0.029319537
Koala_2,0.107747138
Koala_321,0.264794568
Koala_61,0.111298441
Koala_364,0.104795464
Koala_109,0.115531196
Koala_315,0.072414197
Koala_389,0.082250019
Koala_414,0.067907424
Koala_65,0.090784383
Koala_369,0.009093493
Koala_89,0.075509226
Koala_129,0.182454696
Koala_53,0.129885641
Koala_399,0.102512889
Koala_398,0.201459188
Koala_38,0.052419052
Koala_335,0.105243047
Koala_378,0.062203935
Koala_252,0.009698665
Koala_275,0.040577561
Koala_238,0.124784885
Koala_163,0.110420715
Koala_18,0.283784715
Koala_16,0.100250722
Koala_298,0.186629283
Koala_391,0.096644324
Koala_368,0.171255519
Koala_183,0.162163604
Koala_10,0.325910444
Koala_409,0.035093913
Koala_56,-0.33009937
Koala_196,0.049742837
Koala_210,0.128005419
Koala_319,0.153310739
Koala_223,0.089806599
Koala_27,0.228110245
Koala_386,0.109347782
Koala_66,0.29021946
Koala_118,0.056114417
Koala_12,0.06894383
Koala_308,0.096579991
Koala_421,0.074072226
Koala_46,-0.273014251
Koala_381,0.175664889
Koala_36,0.148762821
Koala_150,0.14239143
Koala_73,0.3484111
Koala_233,0.073930988
Koala_179,0.091890532
Koala_428,0.170474784
Koala_86,0.088425201
Koala_115,0.226627184
Koala_226,0.066804161
Koala_327,0.072343186
Koala_28,0.138503649
Koala_218,0.111583728
Koala_267,0.033073211
Koala_4,0.073255967
Koala_209,0.096488914
Koala_229,0.157305299
Koala_60,0.118868544
Koala_154,0.088732574
Koala_187,0.282883644
Koala_370,0.035216474
Koala_155,0.142389814
Koala_266,0.1247525
Koala_39,0.090377195
Koala_250,0.246502893
Koala_340,0.076068954
Koala_382,0.354685599
Koala_203,0.191706893
Koala_360,0.090931162
Koala_204,0.075458001
Koala_350,0.180931975
Koala_166,-0.144509556
Koala_68,0.252614997
Koala_128,0.1745146
Koala_139,0.046939393
Koala_311,0.039077715
Koala_387,0.134018237
Koala_316,0.037591227
Koala_410,0.119860849
Koala_415,0.214719945
Koala_341,0.105442261
Koala_199,0.197797346
Koala_355,0.059547539
Koala_259,0.066909818
Koala_149,0.063289293
Koala_181,0.096656581
Koala_354,0.082143494
Koala_234,0.187334981
Koala_81,0.074245671
Koala_70,0.098980319
Koala_253,0.067205831
Koala_42,0.404422396
Koala_413,0.052426021
Koala_357,0.067457889
Koala_161,0.257925103
Koala_332,0.239895426
Koala_337,0.097909567
Koala_262,0.167444922
Koala_390,0.176967209
Koala_19,0.139350995
Koala_110,0.083768551
Koala_185,0.03476225
Koala_297,0.03864006
Koala_95,0.200377463
Koala_343,0.361569462
Koala_323,0.063356849
Koala_202,0.111204729
Koala_290,0.183618765
Koala_177,0.305397732
Koala_142,0.115421469
Koala_104,0.061393575
Koala_207,0.087774991
Koala_353,0.085591498
Koala_325,0.104825893
Koala_51,0.091962347
Koala_347,0.086130667
Koala_102,-0.10126229
Koala_363,0.156270036
Koala_329,0.291012607
Koala_412,0.029122384
Koala_91,0.090658201
Koala_67,0.057644103
Koala_227,0.190254898
Koala_201,0.116178762
Koala_251,0.03162754
Koala_137,0.116681836
Koala_383,0.084283311
Koala_289,0.116145721
Koala_376,0.111337087
Koala_152,0.062313057
Koala_379,0.127918869
Koala_306,0.222266521
Koala_29,0.098339966
Koala_241,0.097557021
Koala_108,0.097347715
Koala_144,0.09661177
Koala_348,0.160475839
Koala_146,0.076811334
Koala_138,0.046434399
Koala_299,0.147925927
Koala_256,0.11170338
Koala_231,0.090872606
Koala_171,0.134197386
Koala_25,0.110962984
Koala_219,0.1252943
Koala_245,0.037998129
Koala_402,0.330053956
Koala_258,0.078610123
Koala_5,0.093913328
Koala_287,0.064721455
Koala_98,0.077799129
Koala_57,0.148442139
Koala_273,0.168292549
Koala_242,0.231995894
Koala_247,0.295139233
Koala_411,0.071762527
Koala_45,0.077837596
Koala_313,0.092313293
Koala_430,0.256863682
Koala_373,0.054150146
Koala_111,0.056817476
Koala_178,0.102092899
Koala_133,0.044301912
Koala_176,0.083161766
Koala_54,0.147967896
Koala_94,0.064106972
Koala_63,0.139300851
Koala_132,0.056114735
Koala_356,0.169928942
Koala_170,0.104616776
Koala_141,0.125096035
Koala_221,0.338679451
Koala_366,0.140718342
Koala_125,0.128384143
Koala_404,0.109209893
Koala_215,-0.22435519
Koala_74,0.186796326
Koala_75,0.083235096
Koala_260,0.110426356
Koala_283,0.136930646
Koala_225,0.363198312
Koala_205,0.019485646
Koala_243,0.100478795
Koala_123,0.197354065
Koala_372,0.10308345
Koala_145,0.066201966
Koala_263,0.069334428
Koala_211,0.062842408
Koala_401,0.19592963
Koala_342,0.204344936
Koala_59,0.13994021
Koala_416,0.104546663
Koala_304,0.427399986
Koala_427,0.305361687
Koala_147,0.065929188
Koala_302,0.082776671
Koala_331,0.225750571
Koala_140,0.126314571
Koala_292,0.146387784
Koala_180,0.082230822
Koala_169,0.128174735
Koala_403,0.17573878
